passband,z_bin,std,offset
g,0.1,0.25706963245997155,0.17774732963311024
g,0.2,0.33483516047412354,0.2506661395286329
g,0.3,0.33798584196955794,0.36820475149569276
g,0.4,0.35871995732914863,0.5296515850067678
g,0.5,0.37559481974792497,0.7315407473670241
g,0.6,0.3295923868780603,0.807192558670792
g,0.7,0.3411493827758993,0.7955756943759731
g,0.8,0.2630397010863248,0.6571087326401575
i,0.2,0.20281982280476518,0.4822084118080454
i,0.3,0.22306753661880013,0.2647722840755833
i,0.4,0.24503020912940787,0.21304736335186192
i,0.5,0.2504067969084529,0.18248020194416625
i,0.6,0.25304381599482256,0.16785225229948608
i,0.7,0.2606057085210208,0.0882469570635287
i,0.8,0.2761114650097896,-0.02555642283704529
i,0.9,0.29553252509338085,-0.06791965140869749
i,1.0,0.3033127895917207,0.037227745377840904
r,0.1,0.2085262023274541,0.23453556935740139
r,0.2,0.2518901116952368,0.21976126036237176
r,0.3,0.2637584593022913,0.20597577027752578
r,0.4,0.2738952242299658,0.17605489178640354
r,0.5,0.2877691580138972,0.10008899518690129
r,0.6,0.2809065775358989,0.09817026576623178
r,0.7,0.3004247243498091,0.12441024204789031
r,0.8,0.3228220798313728,0.22193660963677786
r,0.9,0.3411705717154419,0.45506535702987705
r,1.0,0.28647248387675384,0.4693434991374126
z,0.4,0.21699619813389753,0.4645178965067984
z,0.5,0.2360231260486391,0.3184196028994677
z,0.6,0.22815881884386646,0.17165004382632887
z,0.7,0.2462894337455767,0.11654282537022098
z,0.8,0.2639502865231776,0.11204508059353557
z,0.9,0.2821829577337189,0.12192908970997607
z,1.0,0.26568396762886093,0.05213412292669517
