name,wavelength,plot_color,plot_marker,plot_ls,mission,source
u,361.7,#0c71ff,o,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
g,482.7,#49be61,^,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
r,622.3,#c61c00,v,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
i,754.6,#ffc200,s,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
z,869.1,#f341a2,*,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
Y,971.2,#5d0000,p,-,lsst,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.110H/abstract
V,550.0,tab:green,p,-,ogle,""
I,810.0,tab:red,p,-,ogle,""
DES g,473.0,#49be61,^,-,des,https://noirlab.edu/science/programs/ctio/filters/Dark-Energy-Camera
DES r,642.0,#c61c00,v,-,des,https://noirlab.edu/science/programs/ctio/filters/Dark-Energy-Camera
DES i,784.0,#ffc200,s,-,des,https://noirlab.edu/science/programs/ctio/filters/Dark-Energy-Camera
DES z,926.0,#f341a2,*,-,des,https://noirlab.edu/science/programs/ctio/filters/Dark-Energy-Camera
DES Y,1009.0,#5d0000,p,-,des,https://noirlab.edu/science/programs/ctio/filters/Dark-Energy-Camera
